id,tipo,funcion,codigo_sectorial,sectorial,codigo_grupo,grupo,valor
1,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,110000,Impuestos,10355288275.77
2,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,130000,Tasas y Contribuciones ,14000000.00
3,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,170000,Rentas de Inversiones ,123565101.00
4,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,180000,Transferencias y Donaciones Corrientes,4513268193.30
5,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,190000,Otros Ingresos,23462822.04
6,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,280000,Transferencias y Donaciones de Capital e Inversion,3900782453.53
7,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,360000,Financiamiento Publico,4848330927.59
8,ingresos,Funcion Ejecutiva,00,Tesoro Nacional,370000,Saldo Disponible,825004574.28
9,ingresos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,130000,Tasas y Contribuciones ,700000.00
10,ingresos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,140000,Venta de Bienes y Servicios,248654.58
11,ingresos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,170000,Rentas de Inversiones y Multas ,20000.00
12,ingresos,Funcion Judicial y Justicia Indigena,02,Sectorial Jurisdiccional,190000,Otros Ingresos,99000.00
13,ingresos,Funcion Ejecutiva,03,Sectorial Administrativo,130000,Tasas y Contribuciones ,29972589.64
14,ingresos,Funcion Ejecutiva,03,Sectorial Administrativo,140000,Venta de Bienes y Servicios,11580681.87
15,ingresos,Funcion Ejecutiva,03,Sectorial Administrativo,170000,Rentas de Inversiones y Multas ,1595620.25
16,ingresos,Funcion Ejecutiva,03,Sectorial Administrativo,180000,Transferencias y Donaciones Corrientes,6000.00
17,ingresos,Funcion Ejecutiva,03,Sectorial Administrativo,190000,Otros Ingresos,87878443.44
18,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,130000,Tasas y Contribuciones ,26615290.25
19,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,140000,Venta de Bienes y Servicios,720000.00
20,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,170000,Rentas de Inversiones y Multas ,52205.81
21,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,180000,Transferencias y Donaciones Corrientes,2531654.61
22,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,190000,Otros Ingresos,393813.00
23,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,270000,Recuperacion de Inversiones,45000.00
24,ingresos,Funcion Ejecutiva,04,Sectorial Ambiente,280000,Transferencias y Donaciones de Capital e Inversion,14346042.78
25,ingresos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,130000,Tasas y Contribuciones ,187323592.03
26,ingresos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,140000,Venta de Bienes y Servicios,1501852.06
27,ingresos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,170000,Rentas de Inversiones y Multas ,25168884.10
28,ingresos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,180000,Transferencias y Donaciones Corrientes,15117058.96
29,ingresos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,190000,Otros Ingresos,98081922.60
30,ingresos,Funcion Ejecutiva,05,Sectorial Asuntos Internos,240000,Venta de Activos no Financieros ,357569.42
31,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,130000,Tasas y Contribuciones ,198313244.95
32,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,140000,Venta de Bienes y Servicios,46389769.60
33,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,170000,Rentas de Inversiones y Multas ,12734825.47
34,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,190000,Otros Ingresos,49113976.88
35,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,240000,Venta de Activos no Financieros ,1814300.00
36,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,270000,Recuperacion de Inversiones,363756.06
37,ingresos,Funcion Ejecutiva,06,Sectorial Defensa Nacional,380000,Cuentas Pendientes por Cobrar,1380000.01
38,ingresos,Funcion Ejecutiva,07,Sectorial Asuntos del Exterior,130000,Tasas y Contribuciones ,16606068.54
39,ingresos,Funcion Ejecutiva,08,Sectorial  Finanzas ,170000,Rentas de Inversiones y Multas ,2640256.26
40,ingresos,Funcion Ejecutiva,08,Sectorial  Finanzas ,190000,Otros Ingresos,70000.00
41,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,110000,Impuestos,7200000.00
42,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,130000,Tasas y Contribuciones ,140269872.93
43,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,140000,Venta de Bienes y Servicios,23601065.91
44,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,170000,Rentas de Inversiones y Multas ,7218110.89
45,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,180000,Transferencias y Donaciones Corrientes,2880000.00
46,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,190000,Otros Ingresos,33686730.52
47,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,240000,Venta de Activos no Financieros,708253.00
48,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,270000,Recuperacion de Inversiones,105680.00
49,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,370000,Saldo Disponible,25852013.98
50,ingresos,Funcion Ejecutiva,09,Sectorial  Educacion,380000,Cuentas Pendientes por Cobrar,460000.00
51,ingresos,Funcion Ejecutiva,10,Sectorial Bienestar Social,130000,Tasas y Contribuciones ,1155.45
52,ingresos,Funcion Ejecutiva,10,Sectorial Bienestar Social,170000,Rentas de Inversiones y Multas ,105089.72
53,ingresos,Funcion Ejecutiva,10,Sectorial Bienestar Social,190000,Otros Ingresos,7065.77
54,ingresos,Funcion Ejecutiva,11,Sectorial Trabajo,130000,Tasas y Contribuciones ,17423282.97
55,ingresos,Funcion Ejecutiva,11,Sectorial Trabajo,170000,Rentas de Inversiones y Multas ,2087796.77
56,ingresos,Funcion Ejecutiva,11,Sectorial Trabajo,190000,Otros Ingresos,2044329.96
57,ingresos,Funcion Ejecutiva,12,Sectorial Salud,130000,Tasas y Contribuciones ,27658089.31
58,ingresos,Funcion Ejecutiva,12,Sectorial Salud,140000,Venta Bienes y Servicios,1538565.01
59,ingresos,Funcion Ejecutiva,12,Sectorial Salud,170000,Rentas de Inversiones y Multas ,355874.00
60,ingresos,Funcion Ejecutiva,12,Sectorial Salud,180000,Transfercias y Donaciones Corrientes,150110.00
61,ingresos,Funcion Ejecutiva,12,Sectorial Salud,190000,Otros Ingresos,4976027.29
62,ingresos,Funcion Ejecutiva,12,Sectorial Salud,240000,Venta de Activos no Finacieros,18070.00
63,ingresos,Funcion Ejecutiva,13,Sectorial Agropecuario,130000,Tasas y Contribuciones ,16516164.12
64,ingresos,Funcion Ejecutiva,13,Sectorial Agropecuario,140000,Venta Bienes y Servicios,6378190.26
65,ingresos,Funcion Ejecutiva,13,Sectorial Agropecuario,170000,Rentas de Inversiones y Multas ,2108775.13
66,ingresos,Funcion Ejecutiva,13,Sectorial Agropecuario,190000,Otros Ingresos,619768.21
67,ingresos,Funcion Ejecutiva,14,Sectorial de Recursos Naturales,130000,Tasas y Contribuciones ,444000.00
68,ingresos,Funcion Ejecutiva,14,Sectorial de Recursos Naturales,140000,Venta Bienes y Servicios,1532622.86
69,ingresos,Funcion Ejecutiva,14,Sectorial de Recursos Naturales,170000,Rentas de Inversiones y Multas ,117783.70
70,ingresos,Funcion Ejecutiva,14,Sectorial de Recursos Naturales,180000,Transfercias y Donaciones Corrientes,8963095.77
71,ingresos,Funcion Ejecutiva,14,Sectorial de Recursos Naturales,190000,Otros Ingresos,1926999.90
72,ingresos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,130000,Tasas y Contribuciones ,6355256.22
73,ingresos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,140000,Venta Bienes y Servicios,2774728.00
74,ingresos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,170000,Rentas de Inversiones y Multas ,11300.00
75,ingresos,Funcion Ejecutiva,15,Comercio Exterior Industrializacion Pesca y Competitividad,190000,Otros Ingresos,142430.20
76,ingresos,Funcion Ejecutiva,16,Sectorial Turismo,130000,Tasas y Contribuciones ,318642.26
77,ingresos,Funcion Ejecutiva,16,Sectorial Turismo,170000,Rentas de Inversiones y Multas ,5000.00
78,ingresos,Funcion Ejecutiva,16,Sectorial Turismo,190000,Otros Ingresos,8000.00
79,ingresos,Funcion Ejecutiva,17,Sectorial de Comunicaciones ,130000,Tasas y Contribuciones ,195977476.26
80,ingresos,Funcion Ejecutiva,17,Sectorial de Comunicaciones ,140000,Venta Bienes y Servicios,13578960.00
81,ingresos,Funcion Ejecutiva,17,Sectorial de Comunicaciones ,170000,Rentas de Inversiones y Multas ,1799181.37
82,ingresos,Funcion Ejecutiva,17,Sectorial de Comunicaciones ,190000,Otros Ingresos,4876833.48
83,ingresos,Funcion Ejecutiva,17,Sectorial de Comunicaciones ,270000,Recuperacion de Inversiones,4900.00
84,ingresos,Funcion Ejecutiva,18,Sectorial Desarrollo Urbano y Vivienda,130000,Tasas y Contribuciones ,356959.10
85,ingresos,Funcion Ejecutiva,18,Sectorial Desarrollo Urbano y Vivienda,190000,Otros Ingresos,500000.00
