id,periodo,matriculados,aprobados,reprobados
25,Septiembre 2008 - Febrero 2009,12616,10917,1680
26,Marzo 2009 - Julio 2009,11723,10012,1668
28,Septiembre 2009 - Febrero 2010,21545,18563,2863
34,Marzo 2010 - Julio 2010,21810,19413,2152
36,Septiembre 2010 Febrero 2011,21439,18868,2258
42,Marzo 2011 - Julio 2011 ,18071,16515,1492
45,Septiembre 2011 Febrero 2012,18011,16121,1721
65,Marzo 2012 Julio 2012,16049,14907,923
68,Septiembre 2012 Febrero 2013,12837,11647,984
74,Marzo 2013 Julio 2013,11980,11182,722
77,Septiembre 2013 Febrero 2014,9227,8478,749
81,Marzo-Julio 2014,8347,8,0
