,id,nombre,matriculados,aprobados,reprobados
8,25,Pregrado Septiembre 2008 - Febrero 2009,12616,10917,1680
9,26,Pregrado Marzo 2009 - Julio 2009,11723,10012,1668
10,28,Pregrado Septiembre 2009 - Febrero 2010,21545,18563,2863
4,30,Admisiones Pregrado,0,0,0
13,34,Pregrado Marzo 2010 - Julio 2010,21810,19413,2152
11,35,Admisiones Pregrado 2010,1,1,0
12,36,Pregrado Septiembre 2010 Febrero 2011,21439,18868,2258
18,42,Pregrado Marzo 2011 - Julio 2011 ,18071,16515,1492
16,43,Admisiones Pregrado 2011,0,0,0
35,45,Pregrado Septiembre 2011 Febrero 2012,18011,16121,1721
34,65,Pregrado Marzo 2012 Julio 2012,16049,14907,923
40,68,Pregrado Septiembre 2012 Febrero 2013,12837,11647,984
45,74,Pregrado Marzo 2013 Julio 2013,11980,11182,722
43,77,Pregrado Septiembre 2013 Febrero 2014,9227,8478,749
50,81,Pregrado Marzo-Julio 2014,8347,8,0
