"Main Subject","Sub-Subject","Title"
"Computer science","Knowledge management","Sentiment Analysis"
"Computer science","Social","Twitter: A Digital Socioscope"
"Computer science","Social","Design and Development of Training Games"
"Computer science","Computer hardware","Workload Modeling for Computer Systems Performance Evaluation"
"Computer science","Algorithmics","A Computational Introduction to Number Theory and Algebra"
"Computer science","Algorithmics","Flexible Pattern Matching in Strings"
"Computer science","Knowledge management","Mining of Massive Datasets"
"Computer science","General computer science","The Computing Universe"
"Computer science","Artificial intelligence and natural language processing","Principles of Automated Negotiation"
"Computer science","Programming languages and applied logic","Thinking Functionally with Haskell"
"Computer science","Programming languages and applied logic","Type Theory and Formal Proof"
"Computer science","Programming languages and applied logic","Program Logics for Certified Compilers"
"Computer science","Knowledge management","The Semantic Web Explained"
"Computer science","Computational biology and bioinformatics","Neuronal Dynamics"
"Computer science","Pattern recognition and machine learning","Kernel Methods and Machine Learning"
"Computer science","Cryptography","A Cryptography Primer"
"Computer science","Programming languages and applied logic","Modal Logic"
"Computer science","Programming languages and applied logic","Process Algebra: Equational Theories of Communicating Processes"
"Computer science","Knowledge management","Social Media Mining"
"Computer science","Algorithmics","Digital Nets and Sequences"
"Computer science","Programming languages and applied logic","Foundations of XML Processing"
"Computer science","Pattern recognition and machine learning","Understanding Machine Learning"
"Computer science","Knowledge management","Data Management for Multimedia Retrieval"
"Computer science","Programming languages and applied logic","Semantic Techniques in Quantum Computation"
"Computer science","Application development and software engineering","Programming in Ada 2012"
"Computer science","Algorithmics","Analysis of Boolean Functions"
"Computer science","Pattern recognition and machine learning","Grammatical Inference"
"Computer science","Computer graphics","Mobile Robotics"
"Computer science","Knowledge management","Foundations of Data Exchange"
"Computer science","Algorithmics","Tractability"
"Computer science","Social","Social Media Intelligence"
"Computer science","General computer science","Calendrical Calculations"
"Computer science","Computer graphics","SuperFractals"
"Computer science","Scientific computing","Parallel Scientific Computing in C++ and MPI"
"Computer science","Algorithmics","The Discrepancy Method"
"Computer science","Knowledge management","Mobility Data"
"Computer science","Artificial intelligence and natural language processing","Brain-Computer Interfacing"
"Computer science","Artificial intelligence and natural language processing","The Quest for Artificial Intelligence"
"Computer science","Programming languages and applied logic","Nominal Sets"
"Computer science","Programming languages and applied logic","Systematic Program Design"
"Computer science","Algorithmics","Modern Computer Algebra"
"Computer science","Cryptography","Quantum Information Theory"
"Computer science","Programming languages and applied logic","Functional Programming Using F#"
"Computer science","Artificial intelligence and natural language processing","Aggregation Functions"
"Computer science","Algorithmics","Randomized Algorithms"
"Computer science","Pattern recognition and machine learning","An Introduction to Support Vector Machines and Other Kernel-based Learning Methods"
"Computer science","Programming languages and applied logic","Modeling in Event-B"
"Computer science","Knowledge management","Search User Interfaces"
"Computer science","Programming languages and applied logic","Pearls of Functional Algorithm Design"
"Computer science","Scientific computing","Verification and Validation in Scientific Computing"
"Computer science","Computer hardware","Performance Modeling and Design of Computer Systems"
"Computer science","Programming languages and applied logic","Practical Foundations for Programming Languages"
"Computer science","Scientific computing","Programming with IMathematicaI®"
"Computer science","Computer graphics","Plasticity in Sensory Systems"
"Computer science","Computer graphics","Computer Vision for Visual Effects"
"Computer science","Knowledge management","Data-Intensive Computing"
"Computer science","Computer hardware","Digital Logic Design"
"Computer science","Application development and software engineering","Software Testing"
"Computer science","Computer graphics","Mathematics of Digital Images"
"Computer science","Social","Experimental Human-Computer Interaction"
"Computer science","Programming languages and applied logic","The Space and Motion of Communicating Agents"
"Computer science","Programming languages and applied logic","A Distributed Pi-Calculus"
"Computer science","Programming languages and applied logic","The Standard ML Basis Library"
"Computer science","Knowledge management","Recommender Systems"
"Computer science","Pattern recognition and machine learning","Phase Transitions in Machine Learning"
"Computer science","Programming languages and applied logic","Transitions and Trees"
"Computer science","Distributed","Introduction to Bisimulation and Coinduction"
"Computer science","Programming languages and applied logic","Programming with Higher-Order Logic"
"Computer science","Scientific computing","Modern Fortran in Practice"
"Computer science","Knowledge management","Relational Knowledge Discovery"
"Computer science","Scientific computing","A Guide to MATLAB"
"Computer science","Programming languages and applied logic","Lisp in Small Pieces"
"Computer science","Application development and software engineering","Software Modeling and Design"
"Computer science","Algorithmics","Graph Algorithms"
"Computer science","Algorithmics","Iterative Methods in Combinatorial Optimization"
"Computer science","Artificial intelligence and natural language processing","Artificial Intelligence"
"Computer science","Application development and software engineering","Practical Formal Software Engineering"
"Computer science","Scientific computing","The Student's Introduction to MATHEMATICA ®"
"Computer science","Computer hardware","Digital Systems Engineering"
"Computer science","Communications","Secure Communicating Systems"
"Computer science","Programming languages and applied logic","Specifying Software"
"Computer science","Social","Computers and the Law"
"Computer science","Algorithmics","How to Think About Algorithms"
"Computer science","Programming languages and applied logic","ML for the Working Programmer"
"Computer science","Social","Computer Ethics"
"Computer science","Algorithmics","Computational Discrete Mathematics"
"Computer science","Programming languages and applied logic","A Practical Introduction to Denotational Semantics"
"Computer science","Programming languages and applied logic","Categories for Types"
"Computer science","Computer hardware","Microprocessor Architecture"
"Computer science","Programming languages and applied logic","Fundamentals of OOP and Data Structures in Java"
"Computer science","Algorithmics","Computational Geometry in C"
"Computer science","Algorithmics","The Design of Approximation Algorithms"
"Computer science","Programming languages and applied logic","Mathematical Theory of Domains"
"Computer science","Algorithmics","Introduction to Distributed Algorithms"
"Computer science","Computational biology and bioinformatics","Spiking Neuron Models"
"Computer science","Algorithmics","A Second Course in Formal Languages and Automata Theory"
"Computer science","Programming languages and applied logic","Steps in Scala"
"Computer science","Computational biology and bioinformatics","Genomic Perl"
"Computer science","Algorithmics","Algorithmic Geometry"
"Computer science","Programming languages and applied logic","Term Rewriting and All That"
"Computer science","Communications","Protecting Information"
"Computer science","Computational biology and bioinformatics","Introduction to Computational Genomics"
"Computer science","Algorithmics","A Computational Introduction to Number Theory and Algebra"
"Computer science","Programming languages and applied logic","Basic Proof Theory"
"Computer science","Scientific computing","Discrete Mathematics"
"Computer science","Distributed","Concurrent Programming"
"Computer science","Knowledge management","Web Data Management"
"Computer science","Artificial intelligence and natural language processing","Multiagent Systems"
"Computer science","Application development and software engineering","UML by Example"
"Computer science","Application development and software engineering","Programming in Visual Basic 2010"
"Computer science","Social","Information Technology"
"Computer science","Pattern recognition and machine learning","Statistical Mechanics of Learning"
"Computer science","Scientific computing","Microcomputers and Mathematics"
"Computer science","Programming languages and applied logic","The Functional Approach to Programming"
"Computer science","Programming languages and applied logic","Concepts in Programming Languages"
"Computer science","Programming languages and applied logic","Modern Compiler Implementation in ML"
"Computer science","Computer graphics","3D Computer Graphics"
"Computer science","General computer science","Talking with Computers"
"Computer science","Algorithmics","Computational Complexity"
"Computer science","Programming languages and applied logic","Modern Compiler Implementation in C"
"Computer science","Programming languages and applied logic","Program Construction"
"Computer science","Programming languages and applied logic","Lambda-Calculus and Combinators"
"Computer science","Cryptography","Quantum Computing for Computer Scientists"
"Computer science","Artificial intelligence and natural language processing","Statistical Machine Translation"
"Computer science","Computer graphics","Perception as Bayesian Inference"
"Computer science","Pattern recognition and machine learning","Density Ratio Estimation in Machine Learning"
"Computer science","Computer graphics","The Map-Building and Exploration Strategies of a Simple Sonar-Equipped Mobile Robot"
